Country,Year,Data
Australia,1960,18593347519.3191
Australia,1961,19666256019.7111
Australia,1962,19911524246.8362
Australia,1963,21527606674.8796
Australia,1964,23787658192.4068
Australia,1965,25962593795.4978
Australia,1966,27288610146.713
Australia,1967,30421099787.2102
Australia,1968,32687870982.1929
Australia,1969,36659200358.3828
Australia,1970,41304737372.6061
Australia,1971,45183111210.6619
Australia,1972,52003504672.8972
Australia,1973,63782190903.2671
Australia,1974,88906411201.1791
Australia,1975,97226546497.3372
Australia,1976,104974158578.092
Australia,1977,110266116081.67
Australia,1978,118400631626.438
Australia,1979,134793820288.538
Australia,1980,149887465181.059
Australia,1981,176804829908.278
Australia,1982,193954540439.148
Australia,1983,177176415535.798
Australia,1984,193503894222.061
Australia,1985,180470967247.066
Australia,1986,182281757134.863
Australia,1987,189375992588.671
Australia,1988,236135768335.274
Australia,1989,299941372852.374
Australia,1990,311425933051.174
Australia,1991,326068597441.331
Australia,1992,325692532492.502
Australia,1993,312372821810.006
Australia,1994,323216879972.328
Australia,1995,368391743391.743
Australia,1996,401819423368.74
Australia,1997,436097980904.68
Australia,1998,399778878111.646
Australia,1999,389146509587.668
Australia,2000,415446209885.072
Australia,2001,378899860470.108
Australia,2002,394635830891.586
Australia,2003,466853232382.062
Australia,2004,613329776639.636
Australia,2005,693764095624.718
Australia,2006,747572626534.891
Australia,2007,853764622752.61
Australia,2008,1055334825425.25
Australia,2009,927168310999.853
Australia,2010,1142876772659.21
Australia,2011,1390557034407.97
Australia,2012,1538194473087.23
Australia,2013,1567178619062.28
Australia,2014,1459597906912.7
Austria,1960,6592693841.18495
Austria,1961,7311749633.36229
Austria,1962,7756110210.11966
Austria,1963,8374175257.73075
Austria,1964,9169983885.71185
Austria,1965,9994070615.85997
Austria,1966,10887682273.1014
Austria,1967,11579431668.9165
Austria,1968,12440625312.8685
Austria,1969,13582798556.2404
Austria,1970,15373005768.7219
Austria,1971,17858485956.6031
Austria,1972,22059612417.4058
Austria,1973,29515467987.912
Austria,1974,35189299985.2768
Austria,1975,40059206763.056
Austria,1976,42959976068.1138
Austria,1977,51545759220.7143
Austria,1978,62052258694.2102
Austria,1979,73937296654.6577
Austria,1980,82058912465.4329
Austria,1981,71034228097.4598
Austria,1982,71275287327.5793
Austria,1983,72121016623.2572
Austria,1984,67985345161.9558
Austria,1985,69386774474.5943
Austria,1986,99036165209.5539
Austria,1987,124168442860.253
Austria,1988,133339397080.129
Austria,1989,133105805928.237
Austria,1990,166463386663.439
Austria,1991,173794177725.398
Austria,1992,195078126346.106
Austria,1993,190379720927.481
Austria,1994,203535242741.838
Austria,1995,241038283062.645
Austria,1996,237250948791.266
Austria,1997,212790348404.555
Austria,1998,218259904401.956
Austria,1999,217185787342.851
Austria,2000,196799778883.361
Austria,2001,197337879194.631
Austria,2002,213377771503.858
