Country,Year,Data
Afghanistan,1960,8996351
Afghanistan,1961,9166764
Afghanistan,1962,9345868
Afghanistan,1963,9533954
Afghanistan,1964,9731361
Afghanistan,1965,9938414
Afghanistan,1966,10152331
Afghanistan,1967,10372630
Afghanistan,1968,10604346
Afghanistan,1969,10854428
Afghanistan,1970,11126123
Afghanistan,1971,11417825
Afghanistan,1972,11721940
Afghanistan,1973,12027822
Afghanistan,1974,12321541
Afghanistan,1975,12590286
Afghanistan,1976,12840299
Afghanistan,1977,13067538
Afghanistan,1978,13237734
Afghanistan,1979,13306695
Afghanistan,1980,13248370
Afghanistan,1981,13053954
Afghanistan,1982,12749645
Afghanistan,1983,12389269
Afghanistan,1984,12047115
Afghanistan,1985,11783050
Afghanistan,1986,11601041
Afghanistan,1987,11502761
Afghanistan,1988,11540888
Afghanistan,1989,11777609
Afghanistan,1990,12249114
Afghanistan,1991,12993657
Afghanistan,1992,13981231
Afghanistan,1993,15095099
Afghanistan,1994,16172719
Afghanistan,1995,17099541
Afghanistan,1996,17822884
Afghanistan,1997,18381605
Afghanistan,1998,18863999
Afghanistan,1999,19403676
Afghanistan,2000,20093756
Afghanistan,2001,20966463
Afghanistan,2002,21979923
Afghanistan,2003,23064851
Afghanistan,2004,24118979
Afghanistan,2005,25070798
Afghanistan,2006,25893450
Afghanistan,2007,26616792
Afghanistan,2008,27294031
Afghanistan,2009,28004331
Afghanistan,2010,28803167
Afghanistan,2011,29708599
Afghanistan,2012,30696958
Afghanistan,2013,31731688
Afghanistan,2014,32758020
Albania,1960,1608800
Albania,1961,1659800
Albania,1962,1711319
Albania,1963,1762621
Albania,1964,1814135
Albania,1965,1864791
Albania,1966,1914573
Albania,1967,1965598
Albania,1968,2022272
Albania,1969,2081695
Albania,1970,2135479
Albania,1971,2187853
Albania,1972,2243126
Albania,1973,2296752
Albania,1974,2350124
Albania,1975,2404831
Albania,1976,2458526
Albania,1977,2513546
Albania,1978,2566266
Albania,1979,2617832
Albania,1980,2671997
Albania,1981,2726056
Albania,1982,2784278
Albania,1983,2843960
Albania,1984,2904429
Albania,1985,2964762
Albania,1986,3022635
Albania,1987,3083605
Albania,1988,3142336
Albania,1989,3227943
Albania,1990,3286542
Albania,1991,3266790
Albania,1992,3247039
Albania,1993,3227287
Albania,1994,3207536
Albania,1995,3187784
Albania,1996,3168033
Albania,1997,3148281
Albania,1998,3128530
Albania,1999,3108778
Albania,2000,3089027
Albania,2001,3060173
Albania,2002,3051010
Albania,2003,3039616
Albania,2004,3026939
Albania,2005,3011487
Albania,2006,2992547
Albania,2007,2970017
Albania,2008,2947314
Albania,2009,2927519
Albania,2010,2913021
Albania,2011,2905195
Albania,2012,2900401
Albania,2013,2895092
Albania,2014,2889104
United Arab Emirates,1960,92634
United Arab Emirates,1961,101078
United Arab Emirates,1962,112472
United Arab Emirates,1963,125566
United Arab Emirates,1964,138529
United Arab Emirates,1965,150362
United Arab Emirates,1966,160481
United Arab Emirates,1967,170283
United Arab Emirates,1968,183194
United Arab Emirates,1969,203820
United Arab Emirates,1970,235499
United Arab Emirates,1971,278808
United Arab Emirates,1972,332760
United Arab Emirates,1973,397174
United Arab Emirates,1974,471364
United Arab Emirates,1975,554324
United Arab Emirates,1976,646943
United Arab Emirates,1977,748117
United Arab Emirates,1978,852262
United Arab Emirates,1979,952040
United Arab Emirates,1980,1042384
United Arab Emirates,1981,1120900
United Arab Emirates,1982,1189545
United Arab Emirates,1983,1253060
United Arab Emirates,1984,1318478
United Arab Emirates,1985,1391052
United Arab Emirates,1986,1472218
United Arab Emirates,1987,1560718
United Arab Emirates,1988,1655849
United Arab Emirates,1989,1756043
United Arab Emirates,1990,1860174
United Arab Emirates,1991,1970026
United Arab Emirates,1992,2086639
United Arab Emirates,1993,2207405
United Arab Emirates,1994,2328686
United Arab Emirates,1995,2448820
United Arab Emirates,1996,2571020
United Arab Emirates,1997,2700010
United Arab Emirates,1998,2838145
United Arab Emirates,1999,2988162
United Arab Emirates,2000,3154925
United Arab Emirates,2001,3326032
United Arab Emirates,2002,3507232
United Arab Emirates,2003,3741932
United Arab Emirates,2004,4087931
United Arab Emirates,2005,4579562
United Arab Emirates,2006,5242032
United Arab Emirates,2007,6044067
United Arab Emirates,2008,6894278
United Arab Emirates,2009,7666393
United Arab Emirates,2010,8270684
United Arab Emirates,2011,8672475
United Arab Emirates,2012,8900453
United Arab Emirates,2013,9006263
United Arab Emirates,2014,9070867
Argentina,1960,20619075
Argentina,1961,20953077
Argentina,1962,21287682
Argentina,1963,21621840
Argentina,1964,21953929
Argentina,1965,22283390
Argentina,1966,22608748
Argentina,1967,22932203
Argentina,1968,23261278
Argentina,1969,23605987
Argentina,1970,23973058
Argentina,1971,24366439
Argentina,1972,24782949
Argentina,1973,25213388
Argentina,1974,25644506
Argentina,1975,26066975
Argentina,1976,26477152
Argentina,1977,26878565
Argentina,1978,27277741
Argentina,1979,27684534
Argentina,1980,28105888
Argentina,1981,28543364
Argentina,1982,28993987
Argentina,1983,29454738
Argentina,1984,29920904
Argentina,1985,30388783
Argentina,1986,30857244
Argentina,1987,31326473
Argentina,1988,31795517
Argentina,1989,32263561
Argentina,1990,32729739
Argentina,1991,33193918
Argentina,1992,33655151
Argentina,1993,34110917
Argentina,1994,34558115
Argentina,1995,34994814
Argentina,1996,35419682
Argentina,1997,35833969
Argentina,1998,36241590
Argentina,1999,36648068
Argentina,2000,37057452
Argentina,2001,37471509
Argentina,2002,37889370
